destino,pagado,recibido,neto,nota
Europa,6815.4,1546.0,5269.4,Países Bajos 2.135 · España 1.574 · R. Unido 1.069 · Italia 698 · Bélgica 485
Estados Unidos,3954.6,343.9,3610.7,
Canadá,2834.2,,,recibido no desagregado (dentro de resto América): se reporta lo pagado
Asia (Japón),504.3,5.7,498.6,"Japón 408,2 pagado"
Oceanía,152.2,49.2,103.0,
Otros y no asignados,4247.3,,,"incluye Bermuda 978, Colombia 333 y no asignados 4.247"
TOTAL IED,19269.5,5418.2,13851.3,utilidades distribuidas; con reinvertidas: ver CEPALSTAT (18.948 pagado / 7.959 recibido)
